ms,degC
2021,31.20
4044,31.20
6067,31.30
8090,31.50
10113,31.70
12135,31.90
14159,32.10
16182,32.30
18204,32.50
20229,32.80
22251,33.00
24273,33.10
26296,33.30
28320,33.50
30343,33.70
32365,33.80
-31148,34.00
-29123,34.10
-27101,34.30
-25078,34.50
-23054,34.60
-21031,34.70
-19009,34.80
-16987,34.90
-14962,34.90
-12940,35.10
-10917,35.10
-8895,35.10
-6871,35.30
-4848,35.30
-2826,35.40
-802,35.50
1220,35.60
3243,35.70
5265,35.80
7289,35.80
9312,35.90
11334,35.90
13359,36.00
15381,36.10
17403,36.10
19426,36.20
21450,36.20
23473,36.30
25495,36.30
27520,36.30
29542,36.30
31564,36.40
-31949,36.40
-29926,36.50
